Item Number,Item Description,List price,Product Family,Notes
AEK2006,PULL HOOK 6T,389.0,Collision Straightening/Access,
CAR11548,RIGHT ANGLE PULL CLAMP,995.0,Collision Straightening/Access,
CAR12408,Skruv MC6S 10X20 8.8 FZB,4.0,Collision Straightening/Parts,
CAR12425,SCREW MC6S-4x10 8.8 FZB,4.0,Collision Joining/Parts,
CAR12645502,MIGA CARD STD -  (CMI3000),751.0,Collision Joining/Parts,
CAR13202,INDUCTOR WITH SCREWS L=200MM,1992.0,Collision Joining/Parts,
CAR14259,SCREW M5x10,4.0,Collision Joining/Parts,
CAR1434860,NOSEPIECE 17/45,46.0,Collision Joining/Parts,
CAR1434874,TUBE SHORT (5pc),110.0,Collision Joining/Parts,
CAR1434975,NOSEPIECE 17/32,46.0,Collision Joining/Parts,
CAR1434977,NOSEPIECE 17/36,46.0,Collision Joining/Parts,
CAR1434999,NOSEPIECE 17/40,46.0,Collision Joining/Parts,
CAR1435381,CONTROL POWERBIRD PRO 4400,1755.0,Collision Joining/Parts,
CAR1435384,JAW PUSHER (5pc),16.0,Collision Joining/Parts,
CAR1435392,JAW HOUSING,380.0,Collision Joining/Parts,
CAR1435393,CHANNEL TUBE (5pc),16.0,Collision Joining/Parts,
CAR1435408,PLATE,147.0,Collision Joining/Parts,
CAR1435412,COMPRESSION SPRING (5pc),92.0,Collision Joining/Parts,
CAR1435568,JAWS (3-PART),151.0,Collision Joining/Parts,
CAR1436003,HEAD,100.0,Collision Joining/Parts,
CAR1446012,O-RING (10PC SET),141.0,Collision Joining/Parts,
CAR1457643,DRIVE UNIT COMPLETE,4892.0,Collision Joining/Parts,
CAR1457645,"MOTOR, COMPLETE",1185.0,Collision Joining/Parts,
CAR1457646,POWERBIRD PRO KEY COMPLETE,86.0,Collision Joining/Accessories,
CAR1520557,ONE-PIECE ADAPTER,54.0,Collision Joining/Parts,
CAR1639650,BATTERY 18.0V 2.1AH LI-ION,948.0,Collision Joining/Parts,
CAR17110015,WATERPROOF SWIITCH,43.0,Collision Joining/Parts,
CAR17110101,CONTROL BUTTON 1S,33.0,Collision Straightening/Access,
CAR17120005,4 X 3 TURN SWITCH,56.0,Collision Joining/Parts,
CAR17220034,WIRE FEED MOTOR (AUTOMIG),473.0,Collision Joining/Parts,
CAR17230006,"SOLENOID VALVE 24V AC 1/8"" NBR",219.0,Collision Joining/Parts,
CAR17230012,SOLENOID VALVE ASSEMBL - 273I,189.0,Collision Joining/Parts,
CAR18502603,KNOB DULL BLACK 021MM,14.0,Collision Joining/Parts,
CAR18521303,COVER DULL BLACK  021MM,6.0,Collision Joining/Parts,
CAR205,RAM ADAPTER,241.0,Collision Straightening/Access,
CAR24550122,BUSHINGS CMI TOOL TRAY,4.0,Collision Joining/Parts,
CAR25610110,FEED WHEEL 0.6-0.8,153.0,Collision Joining/Accessories,
CAR25610112,FEED WHEEL 1.0-1.2,198.0,Collision Joining/Accessories,
CAR25610184,FEED WHEELS 0.6 - 8mm,95.0,Collision Joining/Accessories,
CAR26330014,HANDLE TUBE ? CM SERIES,24.0,Collision Joining/Parts,
CAR26510155,CAPILLARY TUBE 01.2x119 WHITE,33.0,Collision Joining/Accessories,
CAR26510156,CAPILLARY TUBE 01.5 BLUE,27.0,Collision Joining/Accessories,
CAR26510157,CAPILLARY TUBE 1.2 - 1.6 MM,27.0,Collision Joining/Accessories,
CAR26511112,CAPILLARY TUBE 0.6 - .08MM WHI,27.0,Collision Joining/Accessories,
CAR3/8EASYCLAMP,"HOSE CLAMP FOR 3/8"" HOSE",7.0,Collision Joining/Accessories,
CAR30002,FUSE,6.0,Collision Straightening/Access,
CAR30018,FLaKTFILTER+GALLER  119x119,63.0,Collision Straightening/Parts,
CAR30024,DECALE:LARGE YELLOW-BENCH,10.0,Collision Straightening/Parts,
CAR30025,SKYLT CAR-O-LINER 1650x375,213.0,Collision Straightening/Parts,
CAR30059,B55-3 WHEEL W/BEARING,215.0,Collision Straightening/Parts,
CAR30073,CLAMP PLATE,80.0,Collision Straightening/Access,
CAR30089,HOLDER,260.0,Collision Joining/Accessories,
CAR30090,B106 PLATE,238.0,Collision Straightening/Parts,
CAR30091,BOLT  T10-5,52.0,Collision Straightening/Access,
CAR30093,MOUNTING PLATE,134.0,Collision Straightening/Parts,
CAR30096,B106 CHASSIS CLAMP 4 REQUIRED,643.0,Collision Straightening/Access,
CAR30102,T31 SAFETY WIRE,100.0,Collision Straightening/Access,
CAR30104,B63-7-1 MOUNTING  PLATE,34.0,Collision Straightening/Parts,
CAR30105,T10-1 HOOK,539.0,Collision Straightening/Access,
CAR30106,T10-4 ADAPTER,62.0,Collision Straightening/Access,
CAR30110,T10-2-1 CLAMP PLATE,70.0,Collision Straightening/Parts,
CAR30111,T10-2 CLAMP I,455.0,Collision Straightening/Access,
CAR30112,T10-3 CLAMP II,401.0,Collision Straightening/Access,
CAR30120,MOUNTING PLATE,31.0,Collision Straightening/Parts,
CAR30131,B39 BENCH MOUNTING  MARK 5,934.0,Collision Straightening/Access,
CAR30138,M719 MEASURING BRIDGE LOCK,211.0,Collision Measuring/Parts,
CAR30176,BENCH PARTS (B106/B39MK),5866.0,Collision Straightening/Access,
CAR30190,M40-1 KNOB B57-4,8.0,Collision Straightening/Parts,
CAR30193,KNOB,5.0,Collision Straightening/Parts,
CAR30194,CLAMPING BUSH,13.0,Collision Measuring/Parts,
CAR30198,M101-25 MEASURING CONE D=25mm,39.0,Collision Measuring/Parts,
CAR30199,M101-35 MEASURING CONE D=35MM,51.0,Collision Measuring/Parts,
CAR30200,M100-08 MEASURING CUP D=8MM,41.0,Collision Measuring/Parts,
CAR30201,M201-34 MEAS STUD D=34MM,113.0,Collision Measuring/Parts,
CAR30202,M201-6 MEAS STUD D=6MM,39.0,Collision Measuring/Parts,
CAR30203,M201-14 MEAS STUD D=14MM,48.0,Collision Measuring/Parts,
CAR30204,M201-13 MEAS STUD D=13MM,45.0,Collision Measuring/Parts,
CAR30205,M100-15 MEASURING CUP D=15MM,41.0,Collision Measuring/Parts,
CAR30206,M100-17 MEAS CUP D=17MM,41.0,Collision Measuring/Parts,
CAR30207,M100-25 MEASURING CUP D=25MM,41.0,Collision Measuring/Parts,
CAR30208,M100-10 MEASURING CUP D=10MM,41.0,Collision Measuring/Parts,
CAR30209,M100-12 MEASURING CUP D=12MM,41.0,Collision Measuring/Parts,
CAR30210,M100-14 MEASURING CUP D=14MM,41.0,Collision Measuring/Parts,
CAR30211,M100-16 MEASURING CUP D=16MM,41.0,Collision Measuring/Parts,
CAR30212,M100-18 MEASURING CUP D=18MM,41.0,Collision Measuring/Parts,
CAR30213,M100-20 MEASURING CUP D=20MM,41.0,Collision Measuring/Parts,
CAR30214,M100-22 MEASURING CUP D=22MM +,41.0,Collision Measuring/Parts,
CAR30215,M100-24 MEASURING CUP D=24MM,41.0,Collision Measuring/Parts,
CAR30216,M100-26 MEASURING CUP D=26MM,41.0,Collision Measuring/Parts,
CAR30217,M100-28 MEASURING CUP D=28MM,41.0,Collision Measuring/Parts,
CAR30218,M201-17 MEAS STUD D=17MM,254.0,Collision Measuring/Parts,
CAR30219,M100-31 MEASURING CUP D=31MM,81.0,Collision Measuring/Parts,
